file,thickness_mm,run,duration_s,start_time_s,end_time_s,peak_force_N,threshold_force_N,method
dr lee go brr - 4mm_aligned,4.0,Run 1,0.26000000000000023,3.82,4.08,5.8687513076781235,0.1760625392303437,threshold
dr lee go brr - 4mm_aligned,4.0,Run 2,0.25000000000000044,3.82,4.07,7.348081086382366,0.22044243259147098,threshold
dr lee go brr - 4mm_aligned,4.0,Run 3,0.26000000000000023,3.82,4.08,6.32663770077162,0.1897991310231486,threshold
dr lee go brr - 4mm_aligned,4.0,Run 4,0.26000000000000023,3.82,4.08,6.182124578241708,0.18546373734725122,threshold
dr lee go brr - 4mm_aligned,4.0,Run 5,0.25,3.83,4.08,6.985941625461292,0.20957824876383876,threshold
dr lee go brr - 52mm_aligned,52.0,Run 1,0.27,3.46,3.73,4.432867443364051,0.13298602330092152,threshold
dr lee go brr - 52mm_aligned,52.0,Run 2,0.29000000000000004,3.45,3.74,4.900415998625523,0.1470124799587657,threshold
dr lee go brr - 52mm_aligned,52.0,Run 3,0.2799999999999998,3.4600000000000004,3.74,4.876758805503169,0.14630276416509505,threshold
dr lee go brr - 52mm_aligned,52.0,Run 4,0.2799999999999998,3.45,3.73,4.687659065330907,0.1406297719599272,threshold
dr lee go brr - 52mm_aligned,52.0,Run 5,0.28000000000000025,3.46,3.74,4.808023545521139,0.14424070636563416,threshold
dr lee go brr - 40mm_aligned,40.0,Run 1,0.2799999999999998,3.81,4.09,5.314044909799835,0.15942134729399504,threshold
dr lee go brr - 40mm_aligned,40.0,Run 2,0.2799999999999998,3.81,4.09,5.3685191250241004,0.16105557375072302,threshold
dr lee go brr - 40mm_aligned,40.0,Run 3,0.27,3.82,4.09,5.197125082850044,0.15591375248550132,threshold
dr lee go brr - 40mm_aligned,40.0,Run 4,0.2799999999999998,3.81,4.09,5.402604960740138,0.16207814882220414,threshold
dr lee go brr - 40mm_aligned,40.0,Run 5,0.2799999999999998,3.82,4.1,5.383271619002818,0.16149814857008452,threshold
